拠点ID,区市町村,名称,所在地,緯度１,経度１,緯度２,経度２,緯度３,経度３,緯度４,経度４,緯度５,経度５,緯度６,経度６,連絡先,連絡先詳細,入出庫可能時間,休業日,収容台数,一時利用/定期利用の別,一時利用部分の有料/無料の別,定期利用部分の有料/無料の別,ジャンル１,ジャンル２,備考,情報提供元
1001,千代田区,秋葉原駅東口第１自転車駐車場,東京都千代田区神田平河町4先,35.697952,139.77541,,,,,,,,,,,03-5211-4345,,24時間,なし,183台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1002,千代田区,飯田橋駅東口第１自転車駐車場,東京都千代田区飯田橋3-12先,35.702128,139.745445,,,,,,,,,,,03-5211-4345,,24時間,なし,80台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1003,千代田区,飯田橋駅東口第２自転車駐車場,東京都千代田区飯田橋3-11-30先,35.702592,139.745882,,,,,,,,,,,03-5211-4345,,24時間,なし,100台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1004,千代田区,秋葉原駅東口第２自転車駐車場,東京都千代田区神田和泉町1先,35.699331,139.77551,,,,,,,,,,,03-5211-4345,,24時間,なし,130台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1005,千代田区,水道橋駅自転車駐車場,東京都千代田区神田三崎町2-20先,35.702008,139.754028,,,,,,,,,,,03-5211-4345,,24時間,なし,65台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1006,千代田区,神田駅第１自転車駐車場,東京都千代田区鍛冶町2-13先,35.690823,139.770564,,,,,,,,,,,03-5211-4345,,24時間,なし,114台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1007,千代田区,神田駅第２自転車駐車場,東京都千代田区鍛冶町2-11先,35.69321,139.771666,,,,,,,,,,,03-5211-4345,,24時間,なし,100台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1008,千代田区,市ヶ谷駅自転車駐車場,東京都千代田区九段北4-4先,35.691637,139.736727,,,,,,,,,,,03-5211-4345,,24時間,なし,85台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1009,千代田区,飯田橋駅第３自転車駐車場,東京都千代田区飯田橋4-10先,35.702189,139.744256,,,,,,,,,,,03-5211-4345,,24時間,なし,90台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
1010,千代田区,岩本町駅臨時自転車駐車場,東京都千代田区神田岩本町15,35.696654,139.77526,,,,,,,,,,,03-5211-4345,,24時間,なし,38台,定期利用のみ,,有料,駐輪場,自転車駐車場,提供する駐輪場の情報が正確なものとなるように努めておりますが、利用者がこの駐輪場の情報を用いて行う行為について、責任は負えませんので、あらかじめご了承ください。,東京都・千代田区
